MUNICIPIO,LOCALIDAD, HABITANTES ,LATITUD,LONGITUD,
Cuautepec de Hinojosa,Almoloya,2659,20.02183,-98.31867,
Acatl·n,San Vicente BoquerÛn,2661,18.27875,-98.05913,
Ensenada,Francisco Zarco (Valle de Guadalupe),2664,32.09746,-116.57088,
Benito Ju·rez,ParedÛn Colorado (ParedÛn Viejo),2665,27.07933,-109.93261,
Xaloztoc,Colonia Venustiano Carranza,2665,19.404,-98.06897,
San Felipe del Progreso,San Juan Jalpa Centro,2667,19.69956,-99.92999,
Jala,Rosa Blanca,2668,21.123056,-104.358056,
Tonal·,Paseo Puente Viejo,2668,20.5703,-103.2056,
Chiautempan,Santa Cruz Tetela,2668,19.29838,-98.20609,
MulegÈ,BahÌa Tortugas,2671,27.69421,-114.89639,
CiÈnega de Flores,Portal de las Salinas,2671,25.982273,-100.143369,
Reforma de Pineda,Reforma de Pineda,2671,16.39777,-94.45754,
Emiliano Zapata,Pacho Nuevo,2673,19.476944,-96.8775,
Acatl·n de Ju·rez,El Plan (El Cerrito),2673,20.41926,-103.60498,
Comalcalco,Cocohital,2674,18.40092,-93.35172,
¡lamo Temapache,Chapopote N˙Òez,2675,20.93384,-97.68555,
San Felipe del Progreso,PurÌsima ConcepciÛn Mayorazgo (Mayorazgo),2676,19.691667,-99.998611,
Cunduac·n,Carlos Rovirosa (Tulip·n),2676,18.113611,-93.298333,
Tapachula,Carrillo Puerto,2676,15.01091,-92.19524,
Iguala de la Independencia,Santa Teresa,2676,18.23071,-99.50836,
Ciudad del MaÌz,Palomas,2676,22.48317,-99.84983,
Espinal,Espinal,2676,20.25792,-97.39862,
Guasave,El Varal (San Sebasti·n N˙mero Uno),2677,25.642778,-108.425,
Ahome,Cerrillos (Campo 35),2677,25.87566,-108.90055,
QuerÈtaro,Puerto de Aguirre,2678,20.80739,-100.43045,
Tuxtla Chico,1ra. SecciÛn de Medio Monte,2680,14.894444,-92.209445,
Zumpango,Colonia L·zaro C·rdenas del RÌo,2681,19.824613,-99.13642,
Villa de Ramos,Hern·ndez,2681,23.03253,-102.03546,
Ameca,El CabezÛn (El LimÛn),2683,20.4951,-103.94871,
Yaxe,Yaxe,2683,16.72675,-96.47201,
ParaÌso,Puerto Ceiba (Carrizal),2686,18.404722,-93.189722,
Angostura,Alhuey,2686,25.37803,-108.12976,
Ixmiquilpan,El Tephe,2690,20.444791,-99.170989,
Yauhquemehcan,Santa MarÌa Atlihuetzian,2691,19.37776,-98.18148,
San Marcos,Las Mesas,2692,17.0081,-99.45873,
Paracho,Quinceo,2692,19.593609,-101.999445,
Sahuayo,Fraccionamiento San Miguel,2692,20.016386,-102.730278,
Angostura,Colonia AgrÌcola MÈxico (Palmitas),2692,25.10866,-107.94459,
San Fernando,Carboneras (La Carbonera),2693,24.63493,-97.71322,
Villa de Cos,Chupaderos,2693,23.16006,-102.32923,
LeÛn,Rizos de la Joya (Rizos del Saucillo),2694,21.151389,-101.755,
San Nicol·s de los Ranchos,San Pedro Yancuitlalpan,2694,19.07724,-98.48186,
Chilpancingo de los Bravo,Palo Blanco,2695,17.403889,-99.466944,
GÛmez Palacio,Pastor Rouaix,2696,25.68169,-103.50898,
NatÌvitas,San Rafael Tenanyecac,2699,19.24641,-98.3688,
Hueyapan de Ocampo,Los Mangos,2699,18.24345,-95.1224,
Chikindzonot,Chikindzonot,2699,20.33573,-88.48683,
Zapotitl·n,Zapotitl·n Salinas,2700,18.32988,-97.47619,
Tequisquiapan,El Tejocote,2701,20.62056,-100.03606,
Coyuca de Catal·n,Amuco de la Reforma,2703,18.29376,-100.64111,
El Barrio de la Soledad,Colonia Progreso,2703,16.79967,-95.07985,
Chalchicomula de Sesma,San Francisco Cuautlancingo (El Barrio),2703,18.99686,-97.41488,
San Fernando,El Progreso,2704,16.876944,-93.222222,
Santo Domingo Tonal·,Santo Domingo Tonal·,2704,17.68163,-97.96096,
San Miguel de Allende,Colonia San Luis Rey,2707,20.9364,-100.73608,
Nahuatzen,Arantepacua,2707,19.59485,-101.96801,
Senguio,Senguio,2707,19.73433,-100.35648,
Actopan,El Boxtha,2708,20.259722,-98.974166,
San MartÌn Hidalgo,El Salitre,2708,20.50785,-103.85634,
C·rdenas,PobladoC-17 Independencia,2708,18.12162,-93.452367,
Buenaventura,ConstituciÛn,2709,29.92132,-106.79637,
Lerdo,El Huarache (El Guarache),2709,25.5239,-103.48879,
Tolim·n,CÛpala,2709,19.60997,-103.77381,
Huitziltepec,Santa Clara Huitziltepec,2709,18.771,-97.88193,
Tequisquiapan,Bordo Blanco,2709,20.49732,-99.92943,
Comalcalco,Sargento LÛpez 1ra. SecciÛn,2710,18.216389,-93.272222,
Tlajomulco de Z˙Òiga,Buenavista,2711,20.456883,-103.520769,
Calpan,San Mateo Ozolco,2713,19.1001,-98.51553,
La Concordia,Benito Ju·rez,2715,16.04409,-92.81992,
La UniÛn de Isidoro Montes de Oca,Petacalco,2715,17.98019,-102.10772,
San Salvador,Caxuxi,2715,20.30278,-98.98529,
Paso de Ovejas,Tolome,2715,19.26671,-96.39477,
ParaÌso,Moctezuma 1ra. SecciÛn,2716,18.376389,-93.231389,
Atlatlahucan,Fraccionamiento Lomas de Cocoyoc,2716,18.91558,-98.93736,
Ixtaczoquitl·n,Zapoapan,2716,18.83938,-96.99234,
Ixtlahuac·n,Ixtlahuac·n,2717,18.99992,-103.7366,
Tecamachalco,La PurÌsima de Hidalgo,2717,18.83179,-97.79389,
Tlapa de Comonfort,Chiepetepec,2718,17.568611,-98.725,
Ixtl·n de Ju·rez,Ixtl·n de Ju·rez,2718,17.3307,-96.48639,
General P·nfilo Natera,San JosÈ el Saladillo (El Saladillo),2718,22.67938,-102.0391,
Escuintla,El Triunfo,2719,15.34899,-92.54941,
Almoloya de Ju·rez,Conjunto Habitacional EcolÛgico SUTEYM,2719,19.36916,-99.77649,
Tolim·n,San Antonio de la Cal,2721,20.767222,-99.937222,
Comalcalco,Lagartera,2721,18.235556,-93.138056,
Xochitl·n de Vicente Su·rez,Xochitl·n de Vicente Su·rez,2721,19.96879,-97.62968,
Centro,ConstituciÛn,2721,18.07317,-92.87256,
ParaÌso,Francisco I. Madero (Madero),2722,18.335556,-93.206944,
Tlatlaya,San Pedro LimÛn,2722,18.58464,-100.3052,
Tehuac·n,San CristÛbal Tepeteopan,2722,18.52597,-97.54824,
P·nuco,Guayalejo,2723,22.38314,-98.48289,
Tlalmanalco,San Lorenzo Tlalmimilolpan,2725,19.223333,-98.803889,
Villa Victoria,Sitio Ejido,2725,19.456667,-99.903056,
MedellÌn,MedellÌn,2725,19.06148,-96.16224,
Etchojoa,Sahuaral,2726,26.92746,-109.66646,
Apaseo El Grande,Fuentes de Balvanera,2727,20.53972,-100.52608,
Villagr·n,Santa Rosa,2727,20.56617,-100.92514,
Tlapanal·,Tlapanal·,2727,18.69655,-98.53472,
Vanegas,Vanegas,2728,23.88439,-100.94843,
Jiquipilco,Ejido Loma de Malacota (Loma de Malacota),2729,19.658611,-99.670833,
Zinacantepec,Tejalpa,2729,19.24825,-99.77192,
TarÌmbaro,Fraccionamiento Puerta del Sol,2729,19.7509,-101.19342,
ChampotÛn,Sihochac,2731,19.50111,-90.5845,
Ixhuatl·n del CafÈ,Tlamatoca Potrerillo,2734,19.069722,-96.937778,
Janos,Janos,2738,30.88959,-108.19977,
Apaseo El Grande,San Pedro Tenango el Nuevo,2738,20.5317,-100.67125,
Mineral de la Reforma,Rinconada de los ¡ngeles,2738,20.02674,-98.71023,
Mineral de la Reforma,Manuel ¡vila Camacho,2738,20.1141,-98.70837,
LeÛn,San Nicol·s de los Gonz·lez,2741,21.119167,-101.581389,
Tuxpan,Coamiles,2741,21.92269,-105.25251,
Santa Cruz de Juventino Rosas,Pozos,2742,20.619722,-100.895278,
Irimbo,Tzintzingareo,2743,19.76359,-100.4886,
Iguala de la Independencia,Coacoyula de ¡lvarez,2744,18.07359,-99.63102,
Zapotlanejo,Santa Fe,2744,20.52613,-103.08622,
Zit·cuaro,San Felipe los Alzati (Colonia Nueva),2747,19.489722,-100.373889,
Villa DÌaz Ordaz,Villa DÌaz Ordaz,2747,16.99433,-96.43143,
Tepanco de LÛpez,Tepanco de LÛpez,2747,18.55685,-97.56238,
Calnali,Papatlatla,2750,20.90276,-98.45066,
San Pedro Ixtlahuaca,San Pedro Ixtlahuaca,2751,17.06266,-96.81672,
Toluca,San MartÌn Toltepec,2753,19.351944,-99.705833,
Santiago Tulantepec de Lugo Guerrero,El Pedregal de San JosÈ,2753,20.06431,-98.40951,
CiÈnega de Zimatl·n,CiÈnega de Zimatl·n,2753,16.88831,-96.7686,
Felipe Carrillo Puerto,Tepich,2753,20.2425,-88.25602,
Tequixquiac,San Miguel,2754,19.871667,-99.132222,
Jamay,San Miguel de la Paz,2754,20.36961,-102.66456,
MÈrida,Leona Vicario,2754,20.9096,-89.60065,
Centro,L·zaro C·rdenas 2da. SecciÛn,2755,17.979444,-93.034167,
Cuaxomulco,Cuaxomulco,2755,19.35371,-98.10186,
Atoyac,Atoyac,2755,18.91303,-96.7778,
ArmerÌa,RincÛn de LÛpez,2756,19.05075,-103.93328,
Ensenada,Rancho Verde,2758,31.917578,-116.584731,
Apodaca,Entronque Laredo-Salinas Victoria,2758,25.85599,-100.25516,
Tilapa,Tilapa,2759,18.59489,-98.55231,
Silao,Los RodrÌguez,2760,20.93694,-101.3624,
Chocam·n,Tetla,2761,18.987778,-97.060833,
Villa de Reyes,Laguna de San Vicente,2762,21.94432,-100.86103,
Guasave,El Cubilete (El Cubilete N˙mero Uno),2763,25.47888,-108.51959,
Calotmul,Calotmul,2764,21.02136,-88.17849,
JerÈcuaro,Puruagua,2766,20.0811,-100.4489,
